1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,temperature,humidity
17691.4,17703.2,30456.9,30458.2,30470.9,30635.9,30610.0,30622.7,19520.3,19518.4,19519.3,12703.2,12693.8,12696.0,21082.5,21088.5,27433.2,27400.9,8656.2,8655.4,8654.4,15916.2,15914.4,15913.9,25572.4,25549.5,25546.8,40208.7,40235.7,40217.6,19124.1,19117.1,41070.5,41090.0,36476.5,36451.5,36464.6,214492.1,214206.4,214287.4,95696.9,95889.7,95815.6,107503.2,108236.7,108379.7,122277.7,122189.8,1617186.9,1634053.9,50631.1,50682.5,50625.1,16851.5,16855.7,16852.4,1092.6,1092.5,1092.5,5171.5,5175.5,5177.9,27508.8,27493.0,23.980000,51.700001
17675.1,17677.2,29896.3,29868.9,29854.7,31428.1,31403.5,31414.2,19468.2,19470.7,19465.9,12637.9,12634.5,12637.6,21158.2,21167.1,27510.2,27482.5,8649.0,8648.2,8648.4,15711.8,15715.2,15725.7,25450.8,25445.3,25427.6,39934.3,39906.8,39909.4,19080.2,19075.3,41104.6,41067.5,36324.5,36325.7,36250.6,212896.1,211455.0,212129.6,95340.2,95296.7,95015.8,109332.9,109299.7,109656.4,123030.0,122334.3,1645571.2,1656560.4,50693.6,50640.4,50674.5,16862.3,16856.5,16861.9,1092.6,1092.5,1092.5,5131.5,5135.2,5137.4,27485.1,27416.6,23.389999,51.180000
17675.6,17673.8,30464.6,30460.3,30447.0,30554.7,30558.7,30583.4,19491.3,19492.8,19482.3,12712.9,12711.5,12710.9,21073.4,21077.3,27418.3,27378.3,8648.2,8645.9,8646.4,15861.4,15865.4,15869.2,25581.9,25583.7,25569.7,40346.5,40339.8,40314.9,19086.9,19089.3,40949.0,40972.2,36344.4,36254.6,36357.1,214010.0,213725.6,213006.5,95868.9,95737.7,95788.6,108105.9,108264.3,108292.9,122263.9,122069.4,1674969.6,1633157.5,50675.0,50649.7,50588.5,16831.3,16827.9,16828.1,1092.6,1092.5,1092.5,5157.2,5161.6,5163.7,27433.6,27439.3,24.090000,51.820000
17682.2,17686.7,30479.3,30442.5,30430.7,30593.5,30590.7,30599.2,19502.4,19499.1,19499.6,12705.2,12703.8,12700.3,21087.0,21094.0,27417.0,27395.7,8648.7,8650.7,8650.1,15879.3,15883.2,15886.0,25581.1,25567.2,25571.6,40263.9,40294.7,40267.9,19100.6,19098.1,41036.2,41018.8,36408.7,36450.2,36371.0,214770.8,214206.4,213737.2,96059.3,95859.6,96012.0,108139.3,108321.5,108327.4,122050.6,122202.3,1587222.1,1636974.4,50681.2,50650.1,50651.4,16839.0,16837.0,16835.9,1092.6,1092.5,1092.5,5162.5,5167.2,5168.9,27479.2,27423.9,24.040001,51.799999
17669.9,17667.3,29963.4,29955.5,29931.3,31176.0,31196.3,31199.3,19465.8,19459.3,19460.1,12646.6,12643.8,12641.0,21113.8,21116.4,27483.9,27457.9,8643.4,8643.0,8642.1,15723.3,15732.3,15731.1,25536.0,25488.2,25469.9,39981.4,39998.2,39984.4,19072.6,19083.4,41087.7,41032.5,36233.7,36288.7,36277.7,211710.8,211432.4,212375.6,95216.6,95315.0,95137.4,108903.5,109123.3,109131.3,122667.2,122509.4,1624911.1,1611496.2,50693.1,50636.5,50661.4,16846.8,16852.3,16854.3,1092.6,1092.5,1092.5,5133.3,5136.7,5139.4,27452.3,27468.6,23.590000,51.480000
