1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,temperature,humidity
17710.8,17708.2,29865.7,29851.3,29865.7,31694.6,31704.0,31729.3,19496.4,19497.7,19496.9,12656.7,12658.6,12657.5,21199.2,21185.8,27552.9,27529.3,8663.0,8663.3,8662.7,15716.1,15714.6,15722.6,25448.6,25447.1,25441.9,39929.9,39893.7,39900.0,19111.4,19117.6,41177.2,41153.9,36298.9,36252.6,36266.6,212383.2,211872.8,212812.3,95503.3,95519.4,95489.5,110450.4,110368.5,110582.9,123226.2,122726.7,1630473.8,1667463.6,50811.7,50719.3,50792.6,16886.6,16887.2,16883.4,1092.6,1092.5,1092.5,5133.5,5136.4,5139.9,27506.3,27502.8,23.160000,49.470001
17711.4,17708.9,29956.6,29923.6,29962.8,31351.5,31337.3,31334.7,19467.7,19470.1,19467.7,12632.7,12633.7,12634.7,21132.2,21140.9,27509.7,27457.9,8649.5,8648.8,8649.2,15718.0,15723.2,15721.7,25450.8,25441.8,25448.9,39909.1,39905.7,39899.7,19108.3,19110.3,41074.6,41126.7,36280.7,36304.8,36353.6,211725.8,212345.3,211925.6,95422.1,95406.0,95412.1,109313.8,109082.2,109176.4,122752.0,122719.1,1627131.6,1658868.2,50660.3,50653.8,50686.4,16865.8,16865.4,16857.5,1092.6,1092.5,1092.5,5135.8,5140.2,5142.5,27476.7,27509.9,23.430000,51.299999
17695.8,17698.8,29893.5,29882.0,29859.2,31491.6,31470.5,31484.4,19479.6,19481.9,19484.9,12642.8,12641.4,12641.2,21154.3,21162.8,27513.8,27483.9,8654.8,8653.5,8653.0,15719.1,15720.4,15722.0,25461.7,25448.4,25433.9,39925.2,39914.6,39899.4,19093.2,19089.2,41140.4,41115.9,36200.3,36266.6,36250.8,212595.6,211974.7,212759.0,95455.0,95399.9,95471.8,109039.3,109820.3,109797.0,123749.1,122934.7,1672616.9,1632261.8,50658.1,50701.6,50679.9,16866.7,16869.9,16870.8,1092.6,1092.5,1092.5,5131.8,5136.1,5137.7,27504.3,27473.3,23.350000,50.880001
17710.0,17713.7,29895.2,29844.3,29893.7,31592.8,31655.3,31599.7,19503.1,19500.1,19497.6,12651.7,12650.7,12653.9,21175.8,21181.2,27560.7,27522.5,8657.5,8659.8,8659.1,15722.3,15723.6,15729.0,25450.7,25436.8,25444.3,39877.5,39889.5,39893.4,19114.9,19112.2,41139.2,41147.2,36320.0,36335.5,36412.2,212095.6,213021.8,212858.0,95755.4,95579.2,95453.5,110110.0,110224.3,110498.6,122875.0,123163.7,1649903.5,1640583.1,50784.1,50797.8,50806.2,16882.0,16875.6,16879.4,1092.6,1092.5,1092.5,5135.7,5139.6,5141.9,27493.2,27525.8,23.219999,49.889999
17708.2,17711.0,29891.1,29896.3,29876.0,31536.3,31551.2,31562.9,19496.3,19492.9,19474.4,12648.8,12648.9,12653.2,21171.5,21169.8,27558.2,27512.7,8660.1,8658.4,8657.8,15725.2,15726.8,15725.4,25456.7,25439.6,25434.5,39892.9,39922.5,39981.4,19098.8,19099.6,41126.7,41107.8,36308.0,36283.2,36292.3,211989.8,212850.4,212930.3,95547.8,95520.9,95610.7,110009.2,110120.2,110234.5,122861.0,123077.1,1657482.8,1663038.6,50747.7,50741.0,50747.2,16871.8,16876.4,16867.2,1092.6,1092.5,1092.5,5133.6,5136.8,5140.0,27490.2,27522.1,23.280001,50.320000
