1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,temperature,humidity
17919.9,17925.4,38332.9,38321.8,38288.6,32897.1,32888.9,32888.0,19712.8,19718.4,19709.8,15077.7,15084.2,15076.2,20949.1,20955.2,27045.0,27018.0,8465.7,8464.8,8463.5,13933.3,13933.6,13936.0,25514.4,25510.5,25514.8,45484.2,45476.8,45507.8,19106.5,19112.1,41064.7,41072.8,38789.3,38850.7,38854.5,192744.1,194070.4,192457.3,101947.1,101839.7,101823.2,105179.3,105542.3,105412.3,119101.3,119340.2,1630473.8,1698625.4,52858.7,52900.6,52832.1,17012.2,17011.8,17008.1,1092.6,1092.5,1092.5,5213.4,5217.9,5220.6,28359.0,28363.0,26.670000,45.820000
18075.0,18078.1,40151.6,40177.7,40210.1,34596.5,34570.5,34582.2,20019.3,20019.3,20015.9,16052.5,16051.5,16048.5,20959.4,20980.5,27088.3,27035.0,8503.5,8499.7,8500.2,14112.1,14116.4,14121.0,26820.9,26792.8,26807.9,47882.0,47975.6,47945.0,19248.1,19227.3,41252.5,41254.5,39724.2,39838.0,39778.0,196586.8,196811.1,197326.6,103330.2,103279.1,103277.3,107970.5,107937.2,108287.0,119590.9,119313.9,1573587.6,1677565.5,54431.7,54484.3,54453.6,17135.4,17135.1,17131.2,1092.6,1092.5,1092.5,5383.0,5386.7,5389.3,28638.1,28669.9,26.870001,44.730000
18158.8,18147.1,41524.2,41492.7,41539.6,35705.1,35708.2,35690.6,20200.6,20195.3,20196.4,16610.4,16606.0,16608.0,20989.8,20990.2,27101.9,27083.7,8527.1,8527.2,8527.0,14325.4,14331.8,14334.9,27546.2,27538.9,27542.3,49272.3,49261.3,49291.9,19282.5,19281.3,41392.7,41372.5,40296.4,40449.3,40396.1,200423.6,201185.9,202476.2,104182.7,104211.0,104285.9,109355.0,109553.4,109668.5,119485.3,119478.1,1611496.2,1625354.9,55420.4,55463.9,55409.3,17194.4,17195.0,17193.4,1092.6,1092.5,1092.5,5463.8,5468.5,5470.8,28812.5,28809.0,26.950001,43.590000
18165.7,18173.2,41949.7,41965.1,41970.0,36121.3,36082.0,36103.1,20259.1,20259.1,20265.7,16834.6,16838.2,16834.3,20999.5,20993.7,27122.7,27091.9,8534.1,8537.3,8537.2,14369.6,14366.5,14372.9,27868.0,27860.0,27874.6,49821.8,49826.8,49835.4,19307.9,19303.4,41426.6,41442.3,40576.0,40628.6,40615.0,202328.2,201978.0,202067.1,104502.1,104221.9,104571.0,110492.5,110566.4,110594.2,119355.8,119761.9,1665830.6,1634951.5,55836.2,55869.5,55861.9,17215.0,17214.9,17220.1,1092.6,1092.6,1092.5,5491.6,5496.0,5497.6,28858.3,28855.7,26.940001,43.610001
18261.8,18265.3,43327.1,43390.6,43372.8,36746.9,36774.9,36752.4,20495.1,20497.2,20498.6,17757.6,17758.2,17757.1,21034.6,21023.7,27170.4,27138.4,8587.2,8586.8,8586.1,14541.5,14544.2,14537.8,29029.0,29027.0,29021.5,52183.8,52144.8,52136.8,19403.8,19399.3,41557.7,41510.3,41143.4,41084.4,41093.3,205489.6,205156.7,204771.9,105251.9,105487.1,106233.1,110157.9,110274.3,110304.0,120024.1,119642.7,1652193.0,1621812.8,57202.0,57214.9,57237.5,17328.6,17325.2,17329.8,1092.6,1092.5,1092.5,5607.2,5610.4,5612.7,29100.6,29096.4,27.080000,45.540001
