1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,temperature,humidity
17780.8,17782.3,36931.6,36957.0,36971.4,31277.1,31271.7,31254.0,19576.6,19574.7,19570.4,14193.5,14196.0,14195.0,21006.2,21009.1,27192.7,27151.3,8539.6,8538.5,8537.7,14679.0,14683.8,14691.0,24818.6,24810.5,24786.3,43867.7,43910.5,43899.6,19072.2,19071.5,41026.7,41067.0,37928.2,37870.3,37822.4,196970.7,197493.6,198445.3,101084.3,101139.3,101238.2,106295.8,106285.3,106301.5,119793.2,119991.4,1658406.1,1579851.2,51921.8,51985.2,51939.1,16879.6,16883.0,16880.4,1092.6,1092.5,1092.5,5136.6,5140.1,5142.5,27752.2,27773.3,25.870001,44.610001
17762.0,17767.2,36696.7,36694.7,36709.1,29155.9,29160.9,29174.6,19603.9,19609.6,19604.0,14177.7,14174.7,14171.4,20947.1,20936.4,27127.1,27106.2,8513.9,8514.4,8514.7,14525.7,14532.5,14534.9,24604.4,24606.4,24606.4,43656.4,43683.0,43726.9,19064.5,19059.0,41014.5,40972.2,37466.2,37546.5,37507.3,196155.8,197146.8,195533.9,100347.5,99952.1,100202.1,100180.2,100111.1,100295.9,119534.5,119598.2,1577339.8,1671677.4,51514.9,51510.7,51544.2,16881.9,16894.0,16892.1,1092.6,1092.5,1092.5,5135.9,5139.4,5142.4,27895.3,27922.9,26.150000,53.740002
17761.0,17760.7,36689.6,36696.5,36708.1,29091.0,29098.2,29067.6,19608.0,19610.9,19621.6,14200.1,14197.0,14190.1,20946.2,20941.6,27117.1,27095.0,8511.0,8510.1,8511.4,14474.1,14480.7,14480.9,24611.8,24614.9,24589.7,43737.0,43738.3,43747.7,19056.9,19057.8,40981.7,40955.1,37535.5,37520.2,37564.6,195533.9,195672.1,195842.7,100176.0,100408.5,100226.6,98988.1,99126.7,99267.3,119694.4,119433.7,1648076.6,1620929.4,51400.4,51416.6,51425.8,16892.9,16893.6,16900.2,1092.6,1092.5,1092.5,5138.8,5142.4,5145.3,27942.3,27958.8,26.190001,53.209999
17885.4,17883.1,37959.3,37945.7,37910.4,29545.7,29555.7,29555.4,19753.6,19751.0,19744.7,14626.8,14622.8,14627.0,20972.8,20958.8,27108.4,27075.8,8509.2,8509.0,8507.5,14263.8,14266.6,14269.2,25024.5,25017.4,24999.3,44518.8,44541.6,44533.5,19115.5,19113.9,41133.1,41122.6,38086.2,38093.7,38087.0,195245.2,195331.7,195453.6,101112.6,101164.2,100614.0,99921.0,100042.0,100394.1,119384.5,119293.6,1638776.8,1647164.8,51633.1,51627.5,51641.4,16973.2,16975.2,16974.0,1092.6,1092.5,1092.5,5179.9,5183.7,5186.1,28220.8,28228.7,26.440001,54.000000
17731.6,17719.7,36396.9,36372.4,36446.3,29080.3,29048.9,29068.0,19572.7,19569.9,19570.4,14021.3,14021.6,14020.3,20944.9,20944.7,27139.7,27111.3,8514.8,8514.1,8513.7,14602.7,14606.8,14607.1,24418.2,24414.3,24405.6,43421.5,43409.8,43429.6,19032.1,19030.5,40940.9,40895.1,37351.5,37377.0,37425.1,196726.5,196866.4,197071.8,99783.6,99900.9,99814.6,100448.4,100719.7,100648.1,119394.1,119724.5,1697656.8,1608231.2,51451.4,51432.7,51474.5,16877.3,16875.3,16878.5,1092.6,1092.6,1092.5,5134.0,5138.8,5140.4,27831.6,27838.2,25.990000,52.820000
