1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,temperature,humidity
17859.3,17860.3,38657.5,38669.0,38691.0,26077.8,26081.4,26094.3,20035.2,20033.8,20034.2,13896.2,13886.4,13888.6,21094.3,21094.3,27305.8,27273.1,8633.9,8633.7,8636.4,15424.5,15428.3,15431.1,23852.0,23842.8,23836.3,43042.7,43019.6,43035.2,19124.1,19118.8,41090.6,41107.8,36469.6,36461.6,36449.7,207026.6,206423.3,207033.8,101257.2,101340.0,101446.3,97424.3,97432.3,97469.8,120797.9,120459.1,1660256.0,1600879.8,49803.8,49792.4,49752.1,16971.6,16970.7,16972.4,1092.6,1092.6,1092.5,5206.6,5211.1,5214.3,27949.1,27934.0,25.450001,60.110001
17865.3,17859.9,38624.8,38687.3,38674.5,25832.9,25844.1,25853.7,20051.1,20051.4,20058.0,13841.3,13844.1,13842.9,21108.5,21110.3,27306.8,27251.7,8631.2,8631.1,8631.5,15424.3,15423.3,15426.6,23735.0,23728.4,23728.2,42881.3,42901.2,42877.5,19098.7,19100.2,41043.7,41033.1,36267.7,36264.6,36282.0,205287.6,205766.7,205848.6,100881.1,100872.5,100659.2,96654.1,96596.0,96937.6,120526.2,120118.6,1639228.0,1582160.4,49714.2,49730.9,49713.4,16963.2,16963.2,16965.9,1092.6,1092.5,1092.5,5200.4,5204.9,5208.7,27902.0,27943.3,25.420000,60.900002
17682.7,17689.9,34235.3,34264.0,34255.5,23533.4,23539.2,23553.5,19767.5,19758.1,19758.3,12845.3,12847.2,12843.2,21008.9,21010.7,27275.1,27232.7,8602.1,8604.5,8605.4,15573.9,15575.8,15579.6,23134.1,23115.3,23119.1,40617.2,40573.0,40527.3,19001.5,19002.0,40755.3,40758.8,34844.1,34846.1,34787.2,205025.9,204659.2,205454.1,95630.7,95567.7,95429.7,91966.4,92125.3,92078.9,120604.4,120275.2,1752889.0,1665830.6,48175.1,48216.0,48234.4,16806.0,16807.1,16810.0,1092.6,1092.5,1092.5,5076.0,5082.1,5084.3,27583.7,27580.3,25.040001,64.900002
17622.5,17624.4,31228.2,31241.7,31234.1,24777.9,24781.3,24800.1,19633.0,19630.6,19629.4,12470.2,12465.1,12467.9,21006.1,20981.5,27254.5,27242.2,8599.6,8597.5,8601.4,15667.4,15670.7,15671.9,23977.3,23963.7,23961.7,39995.2,39981.9,39964.8,18984.3,18983.3,40710.2,40702.2,35022.8,35078.5,35037.6,207102.2,206591.8,206616.8,93952.4,93917.5,93887.1,94138.3,94263.6,94077.2,120897.3,120858.0,1690666.2,1684686.2,48550.2,48585.0,48562.9,16775.9,16765.0,16769.0,1092.6,1092.5,1092.5,5085.2,5090.3,5093.0,27459.1,27463.1,24.860001,63.720001
17794.4,17789.5,37089.6,37129.3,37130.8,24576.5,24592.8,24595.7,19917.5,19926.5,19916.5,13393.0,13387.3,13401.7,21047.2,21050.2,27278.5,27264.6,8622.3,8620.6,8620.0,15519.3,15517.7,15522.3,23241.9,23238.2,23245.3,41729.7,41702.2,41725.5,19053.5,19056.7,40866.8,40916.9,35385.3,35429.9,35408.0,205745.4,205780.9,205266.3,98378.2,98302.6,98427.9,93755.4,94186.7,94115.2,120601.9,120569.0,1643753.9,1624911.1,48873.7,48901.9,48872.5,16885.0,16870.6,16877.8,1092.6,1092.5,1092.5,5129.9,5135.2,5138.3,27749.7,27740.8,25.230000,63.470001
